	network	network_description	compute	protocol	k	protocol_description	block_interval	activation_delay	number_activations	activations	incentive_scheme	incentive_scheme_description	strategy	strategy_description	reward	machine_duration_s	error	compute_weakest	compute_strongest	compute_gini	activations_weakest	activations_strongest	activations_gini	reward_weakest	reward_strongest	reward_gini	efficiency_weakest	efficiency_strongest	efficiency_gini	activations_compute_gini_delta	reward_activations_gini_delta
20	honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	nakamoto	1	Nakamoto consensus	60.0	60.0	1000000	18054|36602|54721|72633|90925|109089|127159|145460|163610|181747	block	1 per confirmed block			17748.|35965.|53795.|71431.|89529.|107449.|125329.|143502.|161398.|179460.	17.158018895		0.01818181818181818	0.18181818181818182	0.3000000000000001	0.018054	0.181747	0.29977299999999996	0.018007195573078897	0.1820808720726132	0.3004839662096213	0.9974075314655421	1.0018370155909766	0.0009301773908121485	-0.00022700000000014375	0.0007109662096213554
21	honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	george	1	George's protocol with k=1	300.0	300.0	1000000	18054|36602|54721|72633|90925|109089|127159|145460|163610|181747	constant	max k per confirmed block, d/k per pow solution on longest chain of votes (d ∊ 1..k = height since last block)			17987.|36469.|54553.|72379.|90608.|108776.|126803.|145061.|163169.|181331.	14.893521697		0.01818181818181818	0.18181818181818182	0.3000000000000001	0.018054	0.181747	0.29977299999999996	0.01803866273005889	0.18185182362285585	0.29995667591983444	0.999150478013675	1.0005767557255738	0.00025477112864874307	-0.00022700000000014375	0.00018367591983448062
22	honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	george	1	George's protocol with k=1	300.0	300.0	1000000	18054|36602|54721|72633|90925|109089|127159|145460|163610|181747	discount	1 per confirmed pow solution			17987.|36469.|54553.|72379.|90608.|108776.|126803.|145061.|163169.|181331.	15.300182583		0.01818181818181818	0.18181818181818182	0.3000000000000001	0.018054	0.181747	0.29977299999999996	0.01803866273005889	0.18185182362285585	0.29995667591983444	0.999150478013675	1.0005767557255738	0.00025477112864874307	-0.00022700000000014375	0.00018367591983448062
23	honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	george	1	George's protocol with k=1	300.0	300.0	1000000	18054|36602|54721|72633|90925|109089|127159|145460|163610|181747	punish	max k per confirmed block, 1 per pow solution on longest chain of votes			17987.|36469.|54553.|72379.|90608.|108776.|126803.|145061.|163169.|181331.	15.807218227		0.01818181818181818	0.18181818181818182	0.3000000000000001	0.018054	0.181747	0.29977299999999996	0.01803866273005889	0.18185182362285585	0.29995667591983444	0.999150478013675	1.0005767557255738	0.00025477112864874307	-0.00022700000000014375	0.00018367591983448062
24	honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	george	1	George's protocol with k=1	300.0	300.0	1000000	18054|36602|54721|72633|90925|109089|127159|145460|163610|181747	hybrid	max k per confirmed block, d/k per pow solution on longest chain of votes (d ∊ 1..k = height since last block)			17987.|36469.|54553.|72379.|90608.|108776.|126803.|145061.|163169.|181331.	16.47296975		0.01818181818181818	0.18181818181818182	0.3000000000000001	0.018054	0.181747	0.29977299999999996	0.01803866273005889	0.18185182362285585	0.29995667591983444	0.999150478013675	1.0005767557255738	0.00025477112864874307	-0.00022700000000014375	0.00018367591983448062
25	honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	george	1	George's protocol with k=1	300.0	300.0	1000000	18054|36602|54721|72633|90925|109089|127159|145460|163610|181747	block	1 per confirmed block			17987.|36469.|54553.|72379.|90608.|108776.|126803.|145061.|163169.|181331.	17.273432737		0.01818181818181818	0.18181818181818182	0.3000000000000001	0.018054	0.181747	0.29977299999999996	0.01803866273005889	0.18185182362285585	0.29995667591983444	0.999150478013675	1.0005767557255738	0.00025477112864874307	-0.00022700000000014375	0.00018367591983448062
26	honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	bk+ll	2	Bₖ with less leader modification with k=2	30.0	15.0	1000000	18054|36602|54721|72633|90925|109089|127159|145460|163610|181747	constant	1 per confirmed pow solution			16809.|34177.|51208.|68176.|85601.|102872.|120246.|137974.|155567.|173102.	16.402555418		0.01818181818181818	0.18181818181818182	0.3000000000000001	0.018054	0.181747	0.29977299999999996	0.017773534151324055	0.18303494013103078	0.30280015903025376	0.9844651684570762	1.0070864450639119	0.004229081725003633	-0.00022700000000014375	0.003027159030253801
27	honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	bk+ll	2	Bₖ with less leader modification with k=2	30.0	15.0	1000000	18054|36602|54721|72633|90925|109089|127159|145460|163610|181747	block	1 per confirmed block			8358.|16959.|25484.|34021.|42763.|51510.|60383.|69249.|77816.|86323.	17.866480851		0.01818181818181818	0.18181818181818182	0.3000000000000001	0.018054	0.181747	0.29977299999999996	0.01767519762469706	0.18255277393595648	0.3033294844628288	0.9790183684888147	1.0044334923600196	0.005774385090668423	-0.00022700000000014375	0.0035564844628288572
28	honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	george	1	George's protocol with k=1	120.0	120.0	1000000	18054|36602|54721|72633|90925|109089|127159|145460|163610|181747	constant	max k per confirmed block, d/k per pow solution on longest chain of votes (d ∊ 1..k = height since last block)			17903.|36242.|54267.|72020.|90172.|108268.|126251.|144461.|162498.|180632.	16.373105954		0.01818181818181818	0.18181818181818182	0.3000000000000001	0.018054	0.181747	0.29977299999999996	0.01803439862840657	0.18195774412368518	0.3001984458766574	0.99891429203537	1.0011595466427792	0.0005695247031198432	-0.00022700000000014375	0.0004254458766574376
29	honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	george	1	George's protocol with k=1	120.0	120.0	1000000	18054|36602|54721|72633|90925|109089|127159|145460|163610|181747	discount	1 per confirmed pow solution			17903.|36242.|54267.|72020.|90172.|108268.|126251.|144461.|162498.|180632.	17.277477593		0.01818181818181818	0.18181818181818182	0.3000000000000001	0.018054	0.181747	0.29977299999999996	0.01803439862840657	0.18195774412368518	0.3001984458766574	0.99891429203537	1.0011595466427792	0.0005695247031198432	-0.00022700000000014375	0.0004254458766574376
