	network	network_description	compute	protocol	k	protocol_description	block_interval	activation_delay	number_activations	activations	incentive_scheme	incentive_scheme_description	strategy	strategy_description	reward	ca_time	ca_height	machine_duration_s	error	version	attacker_compute	attacker_relative_activations	attacker_relative_reward	attacker_efficiency
24	two-agents-0.5	2 nodes, alpha=0.5, no propagation delays	0.5|0.5	nakamoto	1	Nakamoto consensus	1.0	1.0	10000	4971|5029	constant	1 per confirmed block	ssz-honest	SSZ'16 attack space; emulate honest behaviour	4971.|5029.	9965.74281355	10000	0.124022585		local-v0.4-47-g351acb8	0.5	0.4971	0.4971	1.0
25	two-agents-0.5	2 nodes, alpha=0.5, no propagation delays	0.5|0.5	nakamoto	1	Nakamoto consensus	1.0	1.0	10000	4994|5006	constant	1 per confirmed block	ssz-simple	SSZ'16 attack space; simple withholding policy	4465.|2774.	9841.72419649	7239	0.130627757		local-v0.4-47-g351acb8	0.5	0.4994	0.6167979002624672	1.2350778939977316
26	two-agents-0.4	2 nodes, alpha=0.4, no propagation delays	0.4|0.6	nakamoto	1	Nakamoto consensus	1.0	1.0	10000	4004|5996	constant	1 per confirmed block	ssz-eyal-sirer-2014	SSZ'16 attack space; Eyal and Sirer 2014	3450.|3584.	9978.81138701	7034	0.211552553		local-v0.4-47-g351acb8	0.4	0.4004	0.49047483650838786	1.2249621291418278
27	gamma-0-alpha-0.1	1 attacker, alpha=0.1, 1 symmetric defenders, constant propagation delays modeling gamma=0. with defender message delay 0.0001)	0.1|0.9	nakamoto	1	Nakamoto consensus	1.0	1.0	10000	992|9008	constant	1 per confirmed block	ssz-honest	SSZ'16 attack space; emulate honest behaviour	992.|9008.	9890.20463881	10000	0.121765606		local-v0.4-47-g351acb8	0.1	0.0992	0.0992	1.0
28	gamma-0.5-alpha-0.1	1 attacker, alpha=0.1, 2 symmetric defenders, constant propagation delays modeling gamma=0.5. with defender message delay 0.0001)	0.1|0.45|0.45	nakamoto	1	Nakamoto consensus	1.0	1.0	10000	976|4517|4507	constant	1 per confirmed block	ssz-simple	SSZ'16 attack space; simple withholding policy	625.|4260.|4291.	10019.41526	9176	0.083102024		local-v0.4-47-g351acb8	0.1	0.0976	0.0681124673060157	0.6978736404304886
29	gamma-0.5-alpha-0.1	1 attacker, alpha=0.1, 2 symmetric defenders, constant propagation delays modeling gamma=0.5. with defender message delay 0.0001)	0.1|0.45|0.45	nakamoto	1	Nakamoto consensus	1.0	1.0	10000	1025|4521|4454	constant	1 per confirmed block	ssz-sapirshtein-2016-sm1	SSZ'16 attack space; Sapirshtein et al. 2016, SM1	650.|4284.|4197.	9799.15673734	9131	0.12795202		local-v0.4-47-g351acb8	0.1	0.1025	0.07118606943379696	0.694498238378507
30	gamma-0.5-alpha-0.1	1 attacker, alpha=0.1, 2 symmetric defenders, constant propagation delays modeling gamma=0.5. with defender message delay 0.0001)	0.1|0.45|0.45	nakamoto	1	Nakamoto consensus	1.0	1.0	10000	972|4571|4457	constant	1 per confirmed block	ssz-eyal-sirer-2014	SSZ'16 attack space; Eyal and Sirer 2014	634.|4330.|4206.	10140.3420258	9170	0.138054906		local-v0.4-47-g351acb8	0.1	0.0972	0.06913849509269357	0.7113013898425264
31	gamma-0.5-alpha-0.1	1 attacker, alpha=0.1, 2 symmetric defenders, constant propagation delays modeling gamma=0.5. with defender message delay 0.0001)	0.1|0.45|0.45	nakamoto	1	Nakamoto consensus	1.0	1.0	10000	971|4500|4529	constant	1 per confirmed block	ssz-honest	SSZ'16 attack space; emulate honest behaviour	971.|4499.|4528.	10045.7981709	9998	0.104657075		local-v0.4-47-g351acb8	0.1	0.0971	0.09711942388477696	1.0002000400080016
32	two-agents-0.45	2 nodes, alpha=0.45, no propagation delays	0.45|0.55	nakamoto	1	Nakamoto consensus	1.0	1.0	10000	4512|5488	constant	1 per confirmed block	ssz-sapirshtein-2016-sm1	SSZ'16 attack space; Sapirshtein et al. 2016, SM1	4160.|2157.	9978.81138701	6317	0.321128786		local-v0.4-47-g351acb8	0.45	0.4512	0.6585404464144372	1.459531131237671
33	gamma-0.75-alpha-0.1	1 attacker, alpha=0.1, 4 symmetric defenders, constant propagation delays modeling gamma=0.75. with defender message delay 0.0001)	0.1|0.225|0.225|0.225|0.225	nakamoto	1	Nakamoto consensus	1.0	1.0	10000	1019|2232|2212|2288|2249	constant	1 per confirmed block	ssz-eyal-sirer-2014	SSZ'16 attack space; Eyal and Sirer 2014	842.|2070.|2049.|2124.|2072.	9986.39540724	9157	0.134972474		local-v0.4-47-g351acb8	0.1	0.1019	0.09195151250409522	0.9023700932688441
